t_s,Vdc_V_Cdc4mF,Vdc_V_Cdc8mF,Vdc_V_Cdc16mF
0.358679,799.548,798.559,798.56
0.35918,794.498,798.552,798.56
0.35968,794.028,798.55,798.56
0.36018,798.643,798.554,798.56
0.36068,803.142,798.561,798.56
0.361181,802.479,798.568,798.56
0.361681,797.425,798.569,798.56
0.362181,793.668,798.565,798.56
0.362681,795.416,798.558,798.56
0.363182,800.682,798.553,798.56
0.363682,803.542,798.551,798.56
0.364182,800.8,798.555,798.56
0.364682,795.56,798.561,798.56
0.365183,793.709,798.567,798.56
0.365683,797.308,798.568,798.56
0.366183,802.294,798.565,798.56
0.366683,803.066,798.558,798.56
0.367184,798.782,798.553,798.56
0.367684,794.269,798.552,798.56
0.368184,794.59,798.556,798.56
0.368684,799.362,798.562,798.56
0.369185,803.211,798.566,798.56
0.369685,801.824,798.567,798.56
0.370185,796.784,798.564,798.56
0.370685,793.76,798.558,798.56
0.371186,796.134,798.554,798.56
0.371686,801.218,798.553,798.56
0.372186,803.295,798.556,798.56
0.372686,800.051,798.562,798.56
0.373187,795.152,798.566,798.56
0.373687,794.098,798.566,798.56
0.374187,798.054,798.563,798.56
0.374687,802.558,798.558,798.56
0.375188,802.556,798.554,798.56
0.375688,798.072,798.554,798.56
0.376188,794.158,798.557,798.56
0.376688,795.199,798.562,798.56
0.377189,800.005,798.565,798.56
0.377689,803.166,798.566,798.56
0.378189,801.145,798.563,798.56
0.378689,796.235,798.558,798.56
0.37919,793.956,798.555,798.56
0.37969,796.851,798.555,798.56
0.38019,801.649,798.557,798.56
0.38069,802.958,798.562,798.56
0.381191,799.328,798.565,798.56
0.381691,794.855,798.565,798.56
0.382191,794.558,798.562,798.56
0.382691,798.751,798.558,798.56
0.383192,802.709,798.555,798.56
0.383692,801.994,798.555,798.56
0.384192,797.431,798.558,798.56
0.384692,794.157,798.562,798.56
0.385193,795.836,798.564,798.56
0.385693,800.563,798.564,798.56
0.386193,803.019,798.562,798.56
0.386693,800.462,798.558,798.56
0.387194,795.785,798.556,798.56
0.387694,794.242,798.556,798.56
0.388194,797.55,798.558,798.56
0.388694,801.975,798.562,798.56
0.389195,802.547,798.564,798.56
0.389695,798.646,798.564,798.56
0.390195,794.667,798.561,798.56
0.390695,795.073,798.558,798.56
0.391196,799.388,798.556,798.56
0.391696,802.753,798.556,798.56
0.392196,801.398,798.559,798.56
0.392696,796.867,798.562,798.56
0.393197,794.257,798.564,798.56
0.393697,796.485,798.563,798.56
0.394197,801.03,798.561,798.56
0.394697,802.782,798.558,798.56
0.395198,799.79,798.556,798.56
0.395698,795.434,798.557,798.56
0.396198,794.604,798.559,798.56
0.396698,798.216,798.562,798.56
0.397199,802.195,798.563,798.56
0.397699,802.078,798.563,798.56
0.398199,798.016,798.561,798.56
0.398699,794.584,798.558,798.56
